radio | wireless telegraphy or telephony | noun | The news was sent by radio.
cytotoxic | poisonous to living cells | adjective | Chemotherapy uses cytotoxic drugs to kill cancer cells.
gravitate | to move or tend to move under the influence of gravitational force | verb | We gravitate towards kind people.
quick | done, proceeding, or occurring with promptness or rapidity, as an action, process, etc. | adjective | They walked in quick steps.
landlord | a person or organization that owns and leases apartments to others | noun | The landlord increased rent this year.
course | a direction or route taken or to be taken | noun | They were on course to succeed.
hefty | of considerable weight and size | adjective | The hefty couch was hard to move.
minimal | the least possible | adjective | The small kitchen had minimal counter space.
aftermath | the consequences of an event | noun | Many homes were destroyed in the aftermath of the hurricane.
friend | a person attached to another by feelings of affection or personal regard | noun | They got along and became friends quickly.
preventable | able to be avoided | adjective | Many ailments are preventable.
capable | able to achieve efficiently whatever one has to do; competent | adjective | The capable lawyer has won many trials.
preserve | to maintain something in its original or existing state | verb | They wanted to preserve the original state of the artifact.
preserve | a sweet food made with fruit preserved in sugar, such as jam or marmalade | noun | She ate a homemade preserve made from raspberries.
flourish | to grow luxuriantly | verb | The warm weather and sun caused the wildflowers to flourish.
sun | the star around which the earth orbits | noun | The sun is almost 93 million miles away from Earth.
moon | the natural satellite of the earth, visible (chiefly at night) by reflected light from the sun | noun | The moon's gravity is the main cause of tides on Earth.
traction | the action of drawing or pulling something over a surface, especially a road or track | noun | These tires get good traction on wet roads.
portion | part of  whole | noun | A portion of the pie was eaten.
row | a line of seats in a theater | noun | My tickets show that I am in Row C.
random | made, done, happening, or chosen without method or conscious decision | noun | They surveyed 100 random people.
code | fdhsfhk | dshkfhskd | fshdhdskf
run |  | sdgsd | dgffg
